Data,Horário,Manobra,Berço,Bordo,Navio,Rota,Loa,Boca,Calado,Situação,Origem
22/03/2026,TBC,Saída,TEPORTI,,PIO GRANDE,,17870,2800,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
25/03/2026,10:00 ETS,Saída,DELEMAR,,NVE CISNE BRANCO,,7600,1050,"4,80 MAX",Navegando para Itajaí,Itajaí/NVT (ZP-21)
08/03/2026,16:30 ETB,Entrada,JBS 1,BE,NC BREDA,Bacia 1,22400,3480,"10,50/10,70",Navegando para Itajaí,Itajaí/NVT (ZP-21)
09/03/2026,01:00 ETB,Entrada,PNAVE 01,BE,MSC INSA,,33500,4560,"11,00/11,50",Drifting,Itajaí/NVT (ZP-21)
09/03/2026,TBC,Saída,PNAVE 01,BE,MSC INSA,Bacia 2,33500,4560,TBC,Drifting,Itajaí/NVT (ZP-21)
09/03/2026,TBC,Entrada,PNAVE 01,,SEASPAN BELIEF,,33696,4820,"11,50/12,20",Fundeado,Itajaí/NVT (ZP-21)
10/03/2026,TBC,Saída,PNAVE 01,,SEASPAN BELIEF,,33696,4820,TBC,Fundeado,Itajaí/NVT (ZP-21)
09/03/2026,11:00 ETS,Saída,JBS 1,BE,NC BREDA,,22400,3480,"10,40/10,70",Atracado,Itajaí/NVT (ZP-21)
10/03/2026,TBC,Entrada,PNAVE 01,BB,XIN WEI HAI,,26300,3220,"8,90/11,10",Fundeado,Itajaí/NVT (ZP-21)
10/03/2026,TBC,Saída,PNAVE 01,BB,XIN WEI HAI,,26300,3220,"9,40/11,00",Fundeado,Itajaí/NVT (ZP-21)
10/03/2026,TBC,Entrada,PNAVE 01,BB,LOG-IN EVOLUTION,,19998,3520,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
11/03/2026,TBC,Saída,PNAVE 01,BB,LOG-IN EVOLUTION,,19998,3520,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
15/03/2026,TBC,Entrada,JBS,,MIRADOR EXPRESS,,24335,3220,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,JBS,,MIRADOR EXPRESS,,24335,3220,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
10/03/2026,13:45 ETB,Entrada,JBS 2,BE,SEATTLE C,Bacia 1,26004,3225,"8,00/8,80",Drifting,Itajaí/NVT (ZP-21)
10/03/2026,15:00 ETB,Entrada,JBS 1,BB,MAERSK GANGES,,25500,3732,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
10/03/2026,22:00 ETS,Saída,JBS 2,BE,SEATTLE C,,26004,3225,TBC,Drifting,Itajaí/NVT (ZP-21)
11/03/2026,07:15 ETS,Saída,JBS 1,BB,MAERSK GANGES,Bacia 1,25500,3732,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
11/03/2026,TBC,Entrada,PNAVE 01,,BREMERHAVEN EXPRESS,,29998,4820,TBC,Fundeado,Itajaí/NVT (ZP-21)
11/03/2026,TBC,Entrada,PNAVE,,MSC ANTIGUA,,29918,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
12/03/2026,TBC,Saída,PNAVE,,MSC ANTIGUA,,29918,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
13/03/2026,TBC,Entrada,PNAVE,,LOG-IN POLARIS,,18600,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
13/03/2026,TBC,Saída,,,LOG-IN POLARIS,,18600,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
14/03/2026,TBC,Entrada,PNAVE,,MSC FIRENZE,,33500,4560,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
15/03/2026,TBC,Entrada,PNAVE,,LOG-IN ENDURANCE,,21260,3220,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
15/03/2026,TBC,Entrada,PNAVE,,CZECH,,29998,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Entrada,JBS,,MSC URSULA VI,,28500,4000,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,PNAVE,,LOG-IN ENDURANCE,,21260,3220,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Entrada,JBS,,NC BRISA,,22400,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,,,CZECH,,29998,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,JBS,,MSC URSULA VI,,28500,4000,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Saída,JBS,,NC BRISA,,22400,3480,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
16/03/2026,TBC,Entrada,JBS,,MSC MAXINE,,29990,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
17/03/2026,TBC,Saída,JBS,,MSC MAXINE,,29990,4820,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
17/03/2026,TBC,Entrada,PNAVE,,LOG-IN JACARANDA,,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
18/03/2026,TBC,Saída,,,LOG-IN JACARANDA,,21845,2980,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
11/03/2026,08:30 ATB,Entrada,PORTO ITAJAI - 04,BE,MARINA,Bacia 1,23930,3220,"7,60 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
11/03/2026,19:00 ETS,Saída,PORTO ITAJAI - 04,BE,MARINA,,23930,3220,TBC,Navegando para Itajaí,Itajaí/NVT (ZP-21)
11/03/2026,20:00 ETS,Saída,PNAVE 01,BB,BREMERHAVEN EXPRESS,,29998,4820,"10,01/10,33",Fundeado,Itajaí/NVT (ZP-21)
11/03/2026,21:00 ETB,Entrada,PNAVE 01,BB,MSC ANTIGUA,Bacia 2,29918,4820,"9,55/10,50",Fundeado,Itajaí/NVT (ZP-21)
12/03/2026,02:00 ETS,Saída,JBS 2,BE,CMA CGM ADVENTURE,,26800,4300,"9,50/10,50",Atracado,Itajaí/NVT (ZP-21)
12/03/2026,TBC,Saída,PNAVE 01,,MSC ANTIGUA,,29918,4820,TBC,Fundeado,Itajaí/NVT (ZP-21)
12/03/2026,09:30 ETS,Saída,JBS 1,BB,BROOKLYN BRIDGE,Bacia 2,26665,3540,"8,70/9,40",Atracado,Itajaí/NVT (ZP-21)
12/03/2026,10:45 ETB,Entrada,JBS 2,BE,JAZAN,Bacia 2,30610,4000,"10,20/10,70",Navegando para Itajaí,Itajaí/NVT (ZP-21)
12/03/2026,13:15 ETB,Entrada,PNAVE 01,BB,MSC FIRENZE,Bacia 2,33500,4560,"9,90/10,80",Drifting,Itajaí/NVT (ZP-21)
13/03/2026,05:00 ETS,Saída,PNAVE 01,BB,MSC FIRENZE,,33500,4560,TBC,Drifting,Itajaí/NVT (ZP-21)
13/03/2026,06:00 ETB,Entrada,PNAVE 01,BB,LOG-IN POLARIS,Bacia 1,18600,3480,"8,30 EK",Navegando para Itajaí,Itajaí/NVT (ZP-21)
